s.no,source,startupName,foundedDate,description,ICB_industry,ICB_sector,startupClassification,groupClassification1,groupClassification2,startupClassification2,groupClassification3,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,Number of Founders,founder1Name,founder2Name,founder3Name
43,keyur,Carthero Technologies Pvt. Ltd.,2015,"They operates a B2B platform that enables businesses to deliver goods to their customers. It also offers a mobile application to order goods. It serves businesses across food and beverage, laundry, grocery, E-commerce, etc.",Industrials,Industrial goods and services,Industrial_and_Business_Products_and_Services,Business Support Services,Customer service for business,Hyperlocal_and_Logistics,Delivery services and logistics,B2B,Logistics service for business,,,Bengaluru,Karnataka,Angel investment,2,Arpit Dave,Mohit Kumar,
44,Keyur,Cartisan,,"Cartisan helps car owners find the nearest, best value and quality car service providers and easily make bookings from car washes to regular maintenance and more.",Consumer_services,Retail,Internet_marketplace_and_eCommerce,Booking,,,,B2B2C,Booking - car service,,,Karnataka,Bengaluru,Angel investment,4,Rajat Patni,Venkat Sreeram,Sharath Murthy
45,keyur,Catbus Infolabs Private Limited,2014,Catbus Infolabs Pvt Ltd provides logistics services. The Company offers on-demand logistics services.,Consumer_services,Retail,Hyperlocal_and_Logistics,Delivery services and logistics,,,,B2C,Logistics services,,,Bengaluru,Karnataka,Angel investment,,,,
46,keyur,CBREX,2015,"CBREX is a technology platform that helps recruitment firms across countries collaborate and earn. It allows its users to post jobs, exchange messages, send resumes, close positions, and receive payments. ",Industrials,Industrial goods and services,Technology_,Industrial Internet of Things,,Industrial_and_Business_Products_and_Services,Professional services,B2B,Collaborating recruiting firms,,,Mumbai,Maharashtra,Angel investment,3,Gautam Sinha,Ananad Karunjay,Sanjeev Punwani
47,keyur,Centerac eMarket Places Pvt. Ltd.,2015,"Operates a B2B auction platform that facilitates buying and selling excess goods in the textile industry. It offers XSTOK, a marketplace that enables buyers and sellers to buy and sell hard-to-sell and slow moving stocks of apparels, home textiles, fabrics, and yarns.",Industrials,Industrial goods and services,Internet_marketplace_and_eCommerce,Buy and Sale goods and products,,,,B2B,Aution platform for buying and selling goods,,,Mumbai,Maharashtra,Angel investment,2,Sanjiv Jagdish Khandelwal,Mihir Shah,
48,keyur,Chalk Farm Ventures Pvt. Ltd.,2015,Chalk Farm Ventures Private Limited operates a technology platform that facilitates EMI payment option for products purchased online or offline with partner merchants.,Technology,Software & Computer Services,Fin_Tech_and_Payments,Payments and Wallet,,,,B2C,Platform for making payments in EMI,,,Bengaluru,Karnataka,Angel investment,,,,
49,keyur,Charcoal Biryani Restaurants Pvt. Ltd.,2015,"Start-up that  delivers food on ordering through their app, website and call center",Consumer_goods,Food and beverage,Consumer_Products_and_Services,Food Products,,Hyperlocal_and_Logistics, Food Products,B2C,Food processing,Food delivery,,Mumbai,Maharashtra,Angel investment,3,Mohammed Bhol,Krishnakanth Thakur,Anuraj Mehrotra
50,keyur,ChefHost.Kitchen,2014,ChefHost is an online peer-to-peer marketplace and community matching chef's expertise and availability with host's interest and requirements.,Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,Marketplace,,Social_Platforms,Connect to Professionals,B2B,Social media platform for the culinary world.,,,Chennai,Tamil Nadu,Angel investment,2,Yiu Yin Yau,Abhi Nandhan Bala Subramanian,
51,keyur,Chloroplast Foods Inc.,2015,"Start-up provides nutritious snacking options. They offers choco chillers, flapjack fairies, sweety retreats, fruits and nuts extravaganza, fruits fosterage, scintillating savouries, and sassy seeds. It offers Snack Experts, a subscription based snack delivery platform.",Consumer_goods,Food and beverage,Consumer_Products_and_Services,Food Products,,,,B2C,Snack Manufacturers,Snack dellivery,,Chennai,Tamil Nadu,Angel investment,1,Arul Muugan,,
52,keyur,Chronosphere Technologies Pvt. Ltd.,2015,Chronosphere Technologies Pvt Ltd. owns and operates a Website that provides online bookings for tour and travel services.,Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,Booking,,Consumer_Products_and_Services,Travel & Tourism,B2C,Online booking for travels and tours,,,Bengaluru,Karnataka,Angel investment,1,Rohan Ramdas Prabhu,,
53,keyur,CimplyFive,2014,CimplyFive helps companies be compliant with MCA requirements.,Industrials,Industrial goods and services,Industrial_and_Business_Products_and_Services,Professional services,Business and Management consultancy,,,B2B,Corporate governance,Compliance support services,,Bengaluru,Karnataka,Angel investment,,,,
54,keyur,CityFurnish,2015,Cityfurnish brings online an eclectic mix of furniture and furnishing range at your doorstep. They gather bits and pieces from different eras to rent furniture and furnishing at affordable packages,Consumer_services,Retail,Internet_marketplace_and_eCommerce,Online Rental,,,,B2C,Renting of furniture,Home renovation,,Gurgaon,Haryana,Angel investment,1,Neerav Jain,,
55,keyur,Cleversharks,2014,"CleverSharks are smarter student community, equipped with correct resources and tools, where everyone takes an informed decision",Technology,Software & Computer Services,Edu_Tech,Online or other forms of student support,,,,B2C,Educational services,,,,,Angel investment,,,,
56,Keyur,Clodura Systems Pvt. Ltd.,,Clodura is an Automated platform which uses machine learning to find high value prospects which are more likely to close.,Technology,Technology Hardware & Equipment,Technology_,Electronics,,,,B2B,Learning Prospects using Machines,,,Pune,Maharashtra,Angel investment,,,,
57,keyur,Clonect Solutions Pvt. Ltd.,2014,"Clonect is a dynamic IT solutions company focusing on niche products in the area of enterprise Governance, Risk Management and Compliance Management (GRC) and software services. ",Technology,Software & Computer Services,Software_and_Internet_Services,IT Operations,Enterprise Software,,,B2B,IT solution company,Helps organizations in leveraging technology,,Bengaluru,Karnataka,Angel investment,2,Shailesh Agarwal,Balaji Rao,
58,keyur,Cointribe Technologies Pvt. Ltd.,2015,CoinTribe is an online lending marketplace that provides small business and salaried individuals way to get funds/capital.,Financials,Financial services,Fin_Tech_and_Payments, Banking and Non Banking Financial services,,,,B2B2C,Loan providers,Financial services,,Gurgaon,Haryana,Angel investment,2,Amit Sachdev,Rohit Lohia,
59,keyur,CollegeDunia,2014,"Collegedunia.com makes finding the suitable Colleges to enroll in and the ways to get in through easier for an Aspirant, One just need to check what stream he/she wants to enroll in and Collegedunia provides all the required information",Consumer_services,Retail,Edu_Tech,Educational products and Services,,,,B2B2C,Website to find suitable colleges,,,Delhi,,Angel investment,1,Sahil Chalana,,
60,keyur,Commercio Connectivity Pvt. Ltd.,2015,Commercio Connectivity Pvt Ltd. provides a platform that allows users to book a professional chef for various occasions in Bengaluru.,Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,Booking,,,,B2C,Online booking of professional chefs,,,Bengaluru,Karnataka,Angel investment,3,Harsh Singla,Ajay Modani,Prachi Modani
61,keyur,ConfirmTKT,2014,IRCTC train PNR predictor which is backed by a unique and efficient algorithm which predicts your IRCTC PNR in seconds based on historical trends.It also assists you in deciding whether to book or not if the train is in waitlist.,Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,Booking,,,,B2C,IRCTC train PNR predictor,,,Bengaluru,Karnataka,Angel investment,2,Dinesh Kumar,Sripad Vaidhya,
62,keyur,Cooey,2015,"Cooey is a mobile healthcare platform customizable for remote care. It is an end to end family health monitoring IOT platform that intends to collect (device), store, analyze and provide insights of vital signs for patients.",Healthcare,Healthcare,Health_Tech,Telemedicine and Online health care platforms,,,,B2C,Health care service providers through video chat,,,Bengaluru,Karnataka,Angel investment,1,Manu Madhusudhanan R,,
63,keyur,Cookaroo Food Network Pvt. Ltd.,2014,"Cookaroo Food Network Pvt. Ltd. provides online food delivery services in Bengaluru. It offers value meals, special meals, salads, and add-ons.",Technology,software & Computer Services,Hyperlocal_and_Logistics, Food Products,,,,B2C,Food delivery ,,,Bengaluru,Karnataka,Angel investment,2,Eraj Hassan,Dharshan Subash,
64,keyur,Coolshare,2015,Zoomot Services which operates CoolShare a cab sharing service with dedicated routes in Mumbai,Consumer_services,Travel and Leisure,Hyperlocal_and_Logistics,"Taxi Services, Automobile pooling & Travel",,,,B2C,Cab sharing service,,,Mumbai,Maharashtra,Angel investment,3,Youmit Singh,Navneet kumar,Randeep lobana
65,keyur,Corner Store Technologies Pvt. Ltd.,2015,"Corner Store Technologies Pvt Ltd. operates as a pharmacy that focuses on chronic medicines. It offers services for patients taking medicines regularly for diabetes, heart related disorders, neuro patients, etc.",Healthcare,Healthcare,Health_Tech,Pharmacy & Medical Supplies,,,,B2C,Pharmacy,,,Jaipur,Rajasthan,Angel investment,3,Khrishna Killa,Rohit Mohta,Deepesh Rajpal
66,keyur,CREO,2014,"Technology based company on a mission to build software that empowers every device. FUEL OS delivers its core promise of a new experience every month, by building features which stem from ideas and suggestions given by its community of users and makers on their proprietary Android based OS, Fuel.",Technology,Software & Computer Services,Software_and_Internet_Services,Software services for consumers,Internet and software development,,,B2C,Software developers for all devices,,,Bengaluru,Karnataka,Angel investment,2,Shubh Malhotra,Sai Srinivas Kiran G,
67,keyur,Cruxio Labs Pvt. Ltd.,2015,"Cruxio Labs Pvt. Ltd. owns and operates mobile application Bucker. It serves as an assisting layer over the existing applications on users device to avail simple services like ordering food, recharge, pop up and cab booking.",Technology,Software & Computer Services,Software_and_Internet_Services,Internet and software development,Software services for consumers,,,B2C,Mobile application bucker,,,Hyderabad,Andhra Pradesh,Angel investment,,,,
68,keyur,Cult Fitness Pvt. Ltd.,2015,Cult is a group of fitness centres that focuses on functional training and group classes.,Healthcare,Healthcare,Health_Tech,Fitness & Wellness,,,,B2C,Machine and equipment free training programs.,Group of fitness centres,,Bengaluru,Karnataka,Angel investment,1,Rashab Telang,,
69,keyur,CustomFurnish.com,2014,"Customfurnish.com is a custom-made furniture e-tailer startup. Its designing tool helps the users design their furniture, have a look of the finish product, and get them delivered and installed in their homes within a very short span. ",Consumer_goods,personal and household goods,Internet_marketplace_and_eCommerce,Home and furniture,,,,B2C,Online furniture sellers,Furniture designers,,Hyderabad,Andhra Pradesh,Angel investment,1,Madhukar Gangadi,,
70,keyur,Cyclops Medtech Pvt. Ltd.,2015,Cyclops MedTech Pvt. Ltd. is a working extensively in the areas of eye tracking and vestibular science. Their vision is to create highly innovative and cost effective medical technology and devices which can expand the diagnosis horizon and thereby aid in faster and better cure. ,Healthcare,Healthcare,Health_Tech,Pharmaceuticals and drug development and manufacturing,,,,B2B,Medical technology and device creators,Clinical device creators,,Bengaluru,Karnataka,Angel investment,4,Niranjan Subbarao,Ravi Nayar,Dr.Srinivas
71,Keyur,DailyNinja,,"Daily Ninja is an online hyper local shopping start-up which especially caters to the regular needs of people, daily at their doorstep.",Consumer_goods,personal and household goods,Hyperlocal_and_Logistics,Online Grocery,,,,B2C,Delivery of household goods ,,,Bengaluru,Karnataka,Angel investment,2,Anurag Gupta,Sagar Yarnalkar,
72,Keyur,Dazo,,They are fundamentally changing the way people get access to great meals on demand right at their doorstep. They are building technology for the perishable logistics space so food brands can get much more demand to serve new customers. Customers on the other hand love their platform due to the ease with which they get delicious affordable meals.,Technology,Software & Computer Services,Hyperlocal_and_Logistics, Food Products,,,,B2C,Food delivery,,,Bengaluru,Karnataka,Angel investment,2,Shashaank Shekhar Singhal,Monica Rasgoti,
73,keyur,Deal Street Asia,2014,"DEALSTREETASIA™, the flagship brand of DEALSTREETASIA Pte. Ltd. is a news and intelligence platform providing international and regional investors insight into some of Asia’s most opaque markets.",Consumer_services,Media,Media_Advertising_and_Gaming,Broadcasting,,,,B2B,News and intelligence platform,Financial news site,,Singapore,,Angel investment,2,Joji Thomas Philip,Sushoban Mukharjee,
74,keyur,Delightful Gourmet Pvt. Ltd.,2015,"Delightful Gourmet Pvt. Ltd. processes and packs chicken, lamb, and seafood products. The company also offers cold cuts. It serves customers via online.",Consumer_goods,Food and beverage,Consumer_Products_and_Services,Food Products,,,,B2C,Processes and packs meat and fish products,,,Bengaluru,Karnataka,Angel investment,3,Jeo Manavalan,Abhay Hanjura,Vivek Gupta
75,keyur,Deyor Rooms,2015,Deyor Rooms is a travel and hospitality company. It offers a platform that aggregates a budget hotel chain which delivers customer satisfaction by providing consistent hotel experiences.,Consumer_services,Retail,Consumer_Products_and_Services,Travel & Tourism,Hotels & Restaurants,,,B2C,Travel and hospitality,Budget hotel chain,,Gurgaon,Haryana,Angel investment,1,Deeraj Jain,,
76,keyur,Digital Gorkha,2014,"Being the company,Digital gorkha develop and market SAAS Based visitor registration & entrance lobby security Software for residential and corporate properties. We provide background verification services and Insurance along with our products.",Technology,Software & Computer Services,Real_estate,Property management services,,Software_and_Internet_Services,Enterprise Security,B2B2C,Property management services,,,Pune,Maharashtra,Angel investment,1,Hitesh Malviya,,
77,keyur,Digitalist Tech Media Pvt. Ltd.,2014,"Develops a video storytelling platform for women in the areas of leaders, game-changers, board members, executives and entrepreneurs, sports, politicians, and women engaging in their goals. It also offers advertising solutions.",Consumer_services,Media,Media_Advertising_and_Gaming,Movies and video,Advertising,,,B2C,Digital story telling platform for women,,,Mumbai,Maharashtra,Angel investment,1,Shaili Chopra,,
78,keyur,Diptab Ventures Pvt. Ltd.,2015,"Diptab Ventures Pvt. Ltd. provides logistics services. It offers business transportation solutions, house shifting, outstation trips, and 24x7 transportation services.",Consumer_services,Retail,Hyperlocal_and_Logistics,Transportation Services, Local trip planners,,,B2C,Logistics services,Transportation services,,Bengaluru,Karnataka,Angel investment,3,Pushkar Singh,Ankit Parasher,Sudharshan Ravi Jha
