S. No.,source,startupName,website,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,Group Classification 4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,founder1Name,founder2Name,founder3Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)"
15,VI,Adiuvo Diagnostics,http://villgro.org/adiuvo-diagnostics,,"Adiuvo Diagnostics, a medical diagnostic device company, has raised funding from social enterprise incubator Villgro. A total sum of INR 65 lakh would be invested on a milestone linked basis. Adiuvo has developed a portable, non-invasive device that helps in the diagnosis of skin and soft tissue infections, which will aid the doctors with right treatment decisions and for optimising wound management. The start-up would utilise the fund for adding manpower and procuring components for manufacturing the devices. The firm had earlier received a grant of INR 50 lakh from Biotechnology Industry Research Assistance Council, Government of India.",Healthcare,Healthcare,Health-Tech,,B2C,Medical Device,,,,,,Medical Equipment and Devices,,,,,,,,,,Villgro,02/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,VI,AdPushup,http://www.adpushup.com/,,AdPushup offers advanced A/B Testing to optimize advertisement revenues for web publishers. It helps web publishers fight ‘banner blindness’ to optimize their advertisement revenues with existing advertisement networks and supply side platforms.,Consumer_services,Media,"Media, Advertising and Gaming",,B2B,Advertisement,,,Delhi,,,Advertising,,,,,,,,,,Microsoft Ventures,03/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,VI,AdUrCup,http://www.adurcup.com/,,"Gurgaon-based start-up accelerator Green House Ventures (GHV) has picked AdUrCup for its 12-month acceleration program. The accelerator will offer the start-ups, access to mentorship from eminent mentors from the industry and seed funding of $100K.Adurcup aims to solve all the backend needs of the food & beverage industry. Currently helping to procure, maintain hygiene, expand reach.",Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Helps grow Hotel and beverage industry,,,Gurgaon,,,Business and Management consultancy,,,,,,,,,,Green House Ventures,02/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,VI,Advenio TecnoSys,http://www.adveniotecnosys.com/,,Advenio TecnoSys provides artificial intelligence (AI) enabled affordable and accessible healthcare solutions.,Healthcare,Healthcare,Health-Tech,,B2B,Healthcare AI solutions,,,Chandigarh,,,Healthcare Analytics and Software,,,,,,,,,,Zone Start-ups India,06/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,VI,Adwyze,http://www.adwyze.com/,,"A marketing optimization platform, which allows marketers to improve the performance of their marketing budgets.",Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Marketing Solutions,,,,,,Business Support Services,,,,,,,,,,Kyron,12/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,VI,Aeyyes Tungsten,http://aeyyescarbides.com/,,Target manufactures Tungsten Carbide alloy powder from waste scrap through a environment friendly thermo-mechanical technique.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B2C,Tungsten carbide powder,,,Trichy,,,Industrial Suppliers,,,,,,,,,,TREC - STEP,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,VI,Agasthya Buoyant,http://www.agastyabuoyant.com/,,"Agasthya Buoyant: manufactures and engages in offering a wide range of Trash Boom, Underwater Lift Bag and Gas Storage Balloon. The firm is developing trash boom for the Clean Ganga initiative of the Government of India.",Technology,Technology Hardware & Equipment,Clean Technology,,B2B,Ganga cleaning mechanism,,,Kolkata,,,Pollution control,,,,,,,,,,IIM-C,11/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,VI,Agencyonnet,http://www.agencyonnet.com/,,Saas for procurement through their proprietary vendor-buyer marketplace.,Industrials,Industrial goods and services,Real estate,,B2C,Marketplace for vendors for real estate buy and sell,,,Delhi,,,"Buy , Rent and Sell Property",,,,,,,,,,Start-up Tunnel,09/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,VI,Aindra Systems,http://www.aindra.in/,,"Moonshot Accelerator, found by Aryaman Dalmia, has currently selected 4 start-ups for its 2017 spring batch. The start-ups include The Climber, AIndra Systems, FeltSo and Typeset. AIndra Systems is using computer vision and deep learning to create a scalable, cloud based solution to mobile facial recognition as well as tackling a wide array of problems in fields like education, health care and enterprise",Technology,Software & Computer Services,Software and Internet Services,,B2B,Cloud Based Infrastructure,,,Bengaluru,,,Cloud Infrastructure,,,,,,,,,,Moonshot Accelerator,02/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,VI,Air OK Technologies,http://airoktech.com,,"Resource center for air quality management.  Provides cost-effective and efficient technological solutions for air quality management issues in industries, urban built environment and waste management sites. Development of decision support systems for air quality management at industries/urban/local areas.",Technology,Technology Hardware & Equipment,Clean Technology,,B2B2C,Air quality management,,,Chennai,,,Pollution control,,,,,,,,,,IIT-M,08/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,VI,Airwood Aerostructures,http://www.airwood.in/,,"Agri Data and Analytics company - bring Precision Agriculture to India. Using indigenously manufactured aerial drones, comprehensive data instruments, predictive analytics and process improvements to help farmers improve yields. Undisclosed amount in seed investment by StartupXseed Ventures LLP (backed by former Infosys board members V Balakrishnan and TV Mohandas Pai, Manipal Group scion Ranjan Pai and others)",Technology,Software & Computer Services,Software and Internet Services,,B2B,Data Analysis to agricultural fields,,,Chennai,,,Big Data Analytics and Machine learning,,,,,,,,,,IIT-M,03/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,VI,AK Surya power Magic,http://www.suryapowermagic.com,,Surya PowerMagic delivers solar irrigation solutions to farmers in power deficit regions,Technology,Technology Hardware & Equipment,Clean Technology,,B2B,Solar Energy production for Irrigation,,,Coimbatore,,,Solar energy,,,,,,,,,,PSG - STEP,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,VI,AKXA Tech,http://www.akxatech.com,,AKXA Tech is a technology driven industrial analytics company dealing with process plant equipment. It aims to deliver solutions/data analytics tools which can systematically and automatically analyse the historical data from the plant DCS and create a Knowledge Resource out of it.,Technology,Software & Computer Services,Software and Internet Services,,B2B,Data Analytics,,,Chennai,,,Big Data Analytics and Machine learning,,,,,,,,,,IIT-M,12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,VI,Algaari Retail Ventures,http://www.algaari.com/,,"Production of water purifier and air purifier Algaari Retail Ventures was started with an idea of expanding a business venture around CleanTech and Health Care products backed by IoT. Algaari dreams of eradicating pollution related health problems through an array of  health care/Cleantech devices thereby, improving the quality of people’s lives. A serious company with a straightforward vision, they believe that there is an amazing amount to be learned by working hand in hand with the nature and developing new ideas for the betterment of the society.",Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Air and Purifier Sell and Development,,,Mumbai,,,Consumer Electronics,,,,,,,,,,Zone Start-ups India,06/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,VI,AlgoEngines,http://algoengines.com/,,"Algo Engines Cloud based SaaS platform for energy analytics provides operational intelligence through integrating the data from wind, solar, hydro and electrical devices. It supports over 2,500 MW of wind and solar capacity across India, Thailand, Philippines and Japan.",Technology,Software & Computer Services,Software and Internet Services,,B2B,EnergyEffiecient software,,,Mumbai,,,SaaS,,,,,,,,,,Cisco LaunchPad,02/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,VI,AlgoSurg,http://www.algosurg.com/,,"Algosurg is developing a web-based software for orthopedic surgeons to accurately plan deformity and replacement surgeries in 3D and to get Patient Specific Instrumentation (PSI) instantly, using only two 2D X-ray images. The 3D surgery plan will help surgeons to take accurate surgical decisions and the PSI (which will be 3D printed) will enable surgeon to make the plan into reality.",Healthcare,Healthcare,Health-Tech,,B2B,3D print learning for doctors,,,Mumbai,,,Healthcare Analytics and Software,,,,,,,,,,IIT-Bombay SINE,04/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,VI,Allizhealth,http://www.allizhealth.com/,,Allizhealth addresses information on non-communicable and lifestyle related diseases.,Healthcare,Healthcare,Health-Tech,,B2C,Diagnostics,,,Pune,,,Telemedicine and Online health care platforms,,,,,,,,,,Microsoft Accelerator,09/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,VI,AlternaCare,https://alterna.care,,"AlternaCare is a remote healthcare access platform that allows patients to be able connect with a highly qualified doctor within minutes on a phone call, text message, app or website.",Healthcare,Healthcare,Health-Tech,,B2C,Connect with docs via telecommunications,,,Delhi,,,"Clinics, Hospitals, and Health Care Providers ",,,,,,,,,,Eros Labs,12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,VI,Altizon Systems,http://altizon.com/,,"The Hive led the seed funding in Altizon Systems which offers solutions for enterprises adopting the Internet of Things (IoT) including for remote monitoring of devices. The round received participation from Infuse Ventures and Persistent Ventures, an unit of publicly listed Persistent Systems which invested $100,000 (about INR 61 lakh) for a reported 4% stake.",Technology,Software & Computer Services,Technology,,B2C,IOT,,,Pune,,,Industrial Internet of Things,,,,,,,,,,The Hive India,09/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,VI,Altreal Bioinnovation,,,"Altreal Bioinnovation Pvt Ltd is a spin-off based on CSIR-NCLs capabilities and created under Lab2Mkt program of Venture Center. The aim of the startup is to develop explant prosthetics such as nose, ear and eye based on silicone.",Healthcare,Healthcare,Health-Tech,,B2C,Prostetics for patients,,,Pune,,,Pharmaceuticals and drug development and manufacturing,,,,,,,,,,NCL - Venture Center,03/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,VI,Ammas,,,Online Pasterisd delivery,Consumer_goods,Food and beverage,Hyperlocal and Logistics,,B2C,Online Cakes and pasteries Sell,,,Bengaluru,,,Food Services,,,,,,,,,,Amrita - TBI,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,VI,Amrita Mitran,,,Amrita MiTRAN enables automated delivery of location-aware and route-aware audio and video content to passengers.,Consumer_services,Retail,Hyperlocal and Logistics,,B2C,Innovation in education,,,Bengaluru,,,Delivery services and logistics,,,,,,,,,,Amrita - TBI,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,VI,Amrita Wids,,,Amrita WIDS is an embedded product to detect intrusions.,Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Intrusion avoiding devices for Home Safety,,,Bengaluru,,,Furnishings & Home Construction,,,,,,,,,,Amrita - TBI,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,VI,Analog Semiconductors,http://www.analogsemi.com,,"ANALOGSEMI offers  specification to silicon complete services for the development core ,Analog/Mixed signal products such as data converters, Power management IC,s, Serial Interface circuits,PLLS and Library Development ( Standard Cells,IOs & Memory)",Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Silicn Services,,,Bengaluru,,,Electrical Components & Equipment,,,,,,,,,,GINSERV,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,VI,App Virality,http://appvirality.com/&#8206,,"App Virality which seems to help app developers increase their downloads through in-app leads and giveaways. Features offered include in-app polls & surveys, analytics to measure app downloads, social mentions and traffic, A/B testing and ability to identify top influencers among various channels etc. It is currently in invite-only mode.",Technology,Software & Computer Services,Software and Internet Services,,B2C,Mobile Appication for enhanced mobile use,,,Bengaluru,,,Internet and software development,,,,,,,,,,Microsoft Accelerator,02/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,VI,Appet-i,http://www.appeti.in/,,"Appet-i is a curated online marketplace which offers authentic Indian delicacies (sweets, snacks, pickles, bakery products, namkeen, health foods etc) from regional establishments and gets them home delivered.",Consumer_goods,Food and beverage,Hyperlocal and Logistics,,B2C,Diet Menu,,,Bengaluru,,,Food Products,,,,,,,,,,IIM-C,09/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,VI,AppKnox,https://www.appknox.com/,,A security 'Audit Tool’ for Android apps and their source code.,Technology,Software & Computer Services,Software and Internet Services,,B2C,Security for mobile apps,,,Bengaluru,,,Internet and software development,,,,,,,,,,Microsoft Accelerator,07/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,VI,Applop,http://in.applop.com/,,"Applop, a mobile app that lets users make their own app  has raised $100,000 (about Rs 6.7 million) from Gurgaon-based GHV Accelerator. Kolkata-based Applop allows users to develop their own apps without writing codes and building wireframes. This app helps those looking to start their own mobile app business. The startup claims to have helped in creating more than 600 app till date.",Technology,Software & Computer Services,Software and Internet Services,,B2C,Application to create own app,,,Kolkata,,,Software services for consumers,,,,,,,,,,Green House Ventures,12/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,VI,Appointy,http://www.appointy.com/,,"Appointy offers an online appointment scheduling software for businesses. The basic membership is free and allows unlimited bookings, services, and staff.",Technology,Software & Computer Services,Software and Internet Services,,B2C,Online Appointment,,,Bengaluru,,,Enterprise Software,,,,,,,,,,Microsoft Accelerator,02/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,VI,Aprogift,http://www.aprogift.com,,"Aprogift focuses on payment aggregation and splitting, their co-branded plugins sit on e-commerce websites for use cases like group-gifting, group travel and crowd-funding. They're product aims to accelerate donation and project completion.",Financials,Financial services,Fin-Tech and Payments,,B2B2C,Payment methods,,,Delhi,,, Banking and Non Banking Financial services,,,,,,,,,,Investopad,08/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,VI,Arcatron,http://arcatron.com/,,"US headquartered engineering software firm Autodesk has selected for Arcatron Mobility its Entrepreneur Impact Program. Under the program, the startups will be provided software worth $150,000 (about INR 1 crore) as well as training for a period of three years. Arcatron Mobility is building products like shower wheelchair and smart care robot to improve lives of elderly and mobility impaired individuals.",Healthcare,Healthcare,Health-Tech,,B2C,Devices for Physically Disabled,,,Pune,,,Medical Equipment and Devices,,,,,,,,,,Autodesk,05/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,VI,Aries Biomed Technology,http://www.ariesbiomed.com,,Biomedical Equipments,Healthcare,Healthcare,Health-Tech,,B2C,Biomedical Equipments,,,Coimbatore,,,Biotechnology and Bio engineering,,,,,,,,,,PSG - STEP,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,VI,Arise Naturals,,,"Arise naturals focuses on extraction of green products such as natural dye , natural extract and Bioactive Compounds.",Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Natural Products for personal use,,,Bhubaneswar,,,Food Products,,,,,,,,,,IIT-BHU,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,VI,Arpan Research,,,,,,,,,,,,Bengaluru,,,,,,,,,,,,,Amrita - TBI,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,VI,ArrowAI,http://arrowai.com,,"ArrowAI s bot-based applications can be used for various things like automating processes, executing workflows, and reporting.",Technology,Software & Computer Services,Software and Internet Services,,B2C,AI chatbot application,,,Mumbai,,,Internet and software development,,,,,,,,,,Rise Accelerator,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,VI,Art Flute,http://www.artflute.com,,"Artflute is an online art marketplace that brings together and connects the otherwise fragmented stakeholders in the ecosystem of art creation, distribution and consumption.",Technology,Software & Computer Services,Social Platforms,,B2C,Art Marketplace to connect stakeholders,,,Bengaluru,,,Connect to Professionals,,,,,,,,,,IIM-B NSRCEL,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,VI,Artoo IT Solutions,https://www.artoo.in/,,"Villgro invested INR 0.25 Cr in Artoo IT Solutions Pvt. Ltd which develops software solutions that cater to the information management needs of social enterprises. It serves financial institutions, primary healthcare centers, energy access companies, and training organizations. The company was founded in 2010 and is based in Bengaluru, India.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Develop software,,,Bengaluru,,,IT Operations,,,,,,,,,,Villgro,01/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,VI,AsespsisLife,https://www.asepsislife.com/,,"Healthtech startup AsepsisLife has raised angel investment to enhance companys reach via social marketing. Founded in 2016 by Ashutosh Prasad and Vivek Prasad, the startups flagship product is mobile-based immunisation app vImmune. It offers a free immunisation tracker for a family and also claims to provide lifelong vaccination reminders. The startup has also been selected for Facebooks FbStart accelerator programme under which, the startup will receive USD 40,000 worth of credits and services from Facebook and its partners including UserTesting, Dropbox, and MailChimp.",Healthcare,Healthcare,Health-Tech,,B2C,Immnisation and vaccination providers,,,Delhi,,,Pharmacy & Medical Supplies,,,,,,,,,,Fbstart,11/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,VI,AskMyGift,http://askmygift.com/,,"AskMyGift is a platform which provides for users to create, curate and share gift wishlists.",Consumer_goods,personal and household goods,Internet marketplace and eCommerce,,B2C,Online Gifting platform,,,Noida,,,Online Gifting,,,,,,,,,,TurningIdeas Ventures,05/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,VI,AstroBuddy,http://astrobuddy.in/,,Mobile App offering Horoscope Consulting.,Technology,Software & Computer Services,Software and Internet Services,,B2C,Mobile app for horoscope consultancy,,,Delhi,,,Software services for consumers,,,,,,,,,,Venture Foundry,05/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,VI,Astrome Technologies,http://www.astrome.co/,,Astrome aims to revolutionize the world of Internet connectivity for the remotest of locations with easy installation and automated line-of-sight deployments. Its GigaMesh product would offer true fibre-equivalent microwave technology,Technology,Technology Hardware & Equipment,Technology,,B2C,Space and satelite,,,Bengaluru,,,Telecommunications Equipment,,,,,,,,,,Cisco LaunchPad,02/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,VI,Astrome Technologies,http://www.astrome.co/,,Astrome Technologies is an Indian space technology company which works toward providing high speed broadband internet from space.,Technology,Technology Hardware & Equipment,Technology,,B2B,Space and satelite,,,Bengaluru,,,Telecommunications Equipment,,,,,,,,,,IISc-SID,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,VI,Ather Energy,http://atherenergy.com/,,"Ather, an electric vehicle startup focused on designing high-speed electric two-wheelers for the Indian market.",Consumer_goods,automobile and parts,Consumer Products and Services,,B2C,Electric vehical sell,,,Chennai,,,Automobiles & Auto Parts services,,,,,,,,,,,02/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,VI,Atomberg,,,Atomberg is company providing technology solutions for data acquisition and analysis applicable to any production/manufacturing sectors.,Technology,Software & Computer Services,Software and Internet Services,,B2B,Data analysis for companies,,,Mumbai,,,Big Data Analytics and Machine learning,,,,,,,,,,IIT-Bombay SINE,01/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,VI,Audianz,http://audianz.com/,,Audianz is a location-based advertising platform.,Consumer_services,Media,"Media, Advertising and Gaming",,B2B,Advertsing,,,Delhi,,,Advertising,,,,,,,,,,Pitney Bowes,08/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,VI,Auro Robotics,http://www.aurobots.com/,,"Auro Robotics creates an autonomous campus shuttles. In May-2016, it raised $2 million in a funding round led by Motus Ventures and supported by Rothenberg Ventures. The amount raised through this funding round would be utilised towards rolling out autonomous campus shuttle services at a major American university later this year, marking one of the most advanced deployments of self-driving cars to date.",Technology,Technology Hardware & Equipment,Technology,,B2B,Robots for Industrial use,,,,,,Robotics,,,,,,,,,,YCombinator,05/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
