startupName,Industry,Sector,investorName,Date,Multiple Angel Rounds,Follow on VC Funding,Exited,City,Region,Website,More Details,
iOrderFresh,IT & ITES,Mobile VAS (M-Commerce - Groceries),Singapore Angel Network,Mar-17,Yes,None,Non Exited,Delhi,Unknown,http://www.iorderfresh.com/,"Delhi-based online fresh fruits and grocery store, iOrderFresh has raised an undisclosed amount of funding from Singapore Angel Network Pte. Ltd. (SGAN), the angel investment arm of Singapore-based Thakral Group of Companies. The startup had, in August 2015, raised funding led by Best Foodworks Pvt. Ltd. iOrderFresh allows customers across Delhi-NCR to order fresh fruits, vegetables, dairy, bakery products, pulses and organic food through its Android and iOS app. It follows a unique ‘zero-inventory, just-in time procurement’ model and provides same day delivery across three different delivery slots. It has already secured tie-ups with InnerChef, Di Ghent Café and is in advanced discussions with several other restaurants. The company claims to have an active customer base of over 50,000 with over 70% repeat rate.",
(Juno Clinic),IT & ITES,Online Services (Healthcare),"Vikas Khemani,Atul Nishar,Others",Mar-17,No,None,Non Exited,Mumbai,West,https://www.juno.clinic/,"Mumbai-based Juno Clinic has raised about $1.2 Mn (INR 8 Cr) in Pre-Series A round of funding from Atul Nishar and other individual investors. Juno Clinic is an online and offline startup focussed on mental health counselling and treatment. The round also saw participation from the family office of Sunita and Neeraj Bhargava (founder of Zodius Capital), Vikas Khemani (President & CEO, Edelweiss Securities Ltd) and other individual investors. The startup will use the funding proceeds to expand into both domestic and international markets online. It also aims to increase its physical footprint within India and launch new B2B-based products offerings that will ensure comprehensive solutions to all mental health problems.",
LetsVenture,IT & ITES,"Online Services (Utility - Funding Platform - Angel, Seed Capital)",Anand Chandrasekaran,Mar-17,Yes,Obtained,Non Exited,Bangalore,South,https://letsventure.com/,"Anand Chandrasekaran, angel investor and former chief product officer of Snapdeal, has invested in fundraising platform LetsVenture. LetsVenture Online Pte is an online platform for fundraising and for start-ups and investors to connect. Founded in 2013, LetsVenture had raised INR 4 crore from a group of 21 angel investors in 2014. The company also raised funding in series A in 2015 from Ratan Tata, Mohandas Pai, Anupam Mittal, Nandan Nilekani, Kunal Bahl, Rohit Bansal, Rishad Premji and Girish Mathrubootham.  The company claims to have facilitated 105 deals amounting to USD 40 million since its launch, which the company targets to increase to USD 100 million in next two years. LetsVenture currently has over 2,200 investors from 23 countries registered on its platform. Besides connecting startups with investors, LetsVenture also performs due diligence and paperwork during the fundraising process.",
(Monjin),IT & ITES,Online Services (HR - Interview Management via Video Recordings),"Holly Millner,Others",Mar-17,No,None,Non Exited,Pune,West,https://www.monjin.com/,"Holly Millner, Senior Principal of CSC, along with Pacatolus Maxim Ltd., has acquired a minority stake in Monjin Interviews Private Limited, a Pune-based company that operates Monjin, an online video based HR interview service by investing INR 5.4 Cr. AZB & Partners acted as legal advisors to Monjin.",
(Nactus),IT & ITES,Education,"Gautam Chhaochharia,Others",Mar-17,No,None,Non Exited,Jaipur,North,http://www.nactus.com/,"Nactus (India) Services Pvt Ltd, which operates a mobile enabled online marketplace for tutors, has raised it first external equity investment from four individual investors. One of the investors - Gautam Chhaochharia, Head of India Research at UBS - has joined the companys board. Juris Corp was the legal advisor to the company on the transaction. Nactus was founded in 2015 by Rohit Dusad and Pooja Khandelwal. The new funds would be utilized towards expansion of Nactus services to more cities, to strengthen its product platform, and business development.",
PeeBuddy,Healthcare & Life Sciences,Medical Devices,Indian Angel Network,Mar-17,No,None,Non Exited,Delhi,North,http://www.peebuddy.in/,"Delhi based start-up PeeBuddy has raised INR 2.96 Cr in seed funding from Indian Angel Network – led by Sanjay Mehta, Ishan Singh and Vikas Kuthiala. PeeBuddy is a female urination device which allows women to stand and pee. The product could also be used during pregnancy for arthritis patients too. The companys range of products includes Herbal Feminine Pain Relief Patches (to avoid taking pills), Oxo Bio-Degradable Sanitary Disposal Bags (for clean & hygienic disposal of Sanitary Products), Intimate Wet Wipes, Applicator Tampons, and Under Arm Sweat Pads.",
PipeCandy,IT & ITES,Enterprise Software,Indian Angel Network,Mar-17,No,Obtained,Non Exited,Chennai,South,https://pipecandy.com/,"Data science startup PipeCandy has raised a seed round of $1.1 million from multiple investors including IDG Ventures India, Axilor Ventures, Silicon Valley based Emergent Ventures, Indian Angel Network and other individual founders. PipeCandy uses data science techniques to give intelligence to sales representatives and counts companies like Freshdesk, Zarget, Chargebee and FarEye as its clients.",
Ragtagger Lifestyle,IT & ITES,Online Services (E-Commerce - Consumer Shopping - Lingerie),The Chennai Angels,Mar-17,No,None,Non Exited,Bangalore,South,https://bragstore.com/,The Chennai Angels group has invested 2 startups-Ragtagger Lifestyle and Edgefx Technologies. Ragtagger Lifestyle runs BRAG which is said to be India’s first and only Teen Lingerie brand.,
ShilpMIS Tech,IT & ITES,IT Products (Hardware - Virtual Reality),IvyCamp,Mar-17,No,None,Non Exited,Surat,West,http://shilpmis.com/,"Surat-based virtual reality startup ShilpMIS Technologies Pvt Ltd has raised an undisclosed amount of funding via the IvyCamp platform from Puneet Gupta, and Nimitt Desai (partner at Deloitte USA), and other HNIs.",
(Smartron),IT & ITES,"IT Products (Hardware - Phones, Laptops)",Sanjay Jha,Mar-17,Yes,None,Non Exited,Bangalore,South,http://www.smartron.com/,"Smartphone maker Smartron has raised financing from Sanjay Jha, the CEO of GlobalFoundries, one of the world's largest contract manufacturers of semiconductors. Jha joins cricketer Sachin Tendulkar as an investor in Smartron and will join Smarton's board of directors. Including Jha's investment, Smartron has raised about INR 100 crore since its inception in 2014. The company is in talks with investors for another INR 200 crore that it plans to use primarily for research and development. Hyderabad-based Smartron, founded by Lingareddy, Narsi Reddy and Rohit Rathi, has so far launched a smartphone and a convertible laptop. Smartron, which expects to earn revenue of INR 50 crore for the 2016-17 financial year, recently invested in a Chennai-based automotive startup, Volta Motors, and has about five more deals in the pipeline.",
Snackexperts,Food & Beverages,Processed Foods (Healthy Snacks),"Navnit Krishna,Rohit Anand Das,Shobhit Anand Das,Dipti Ranjan Pattnaik",Mar-17,Yes,None,Non Exited,Chennai,South,https://snackexperts.com/,"Healthy snacking startup Snackexperts has raised seed funding from Dipti Ranjan Pattnaik, chairman of Altrade Group; Shobhit Anand Das, Rohit Anand Das and Navnit Krishna. Existing investors Ajeet Khurana, Taha Nabee, VC Karthic, Ravi Gururaj and Srinivasan have exited the company.",
1crowd,IT & ITES,Online Services (Utility - Crowd Funding Platform),Ganesh Natarajan,Feb-17,No,None,Non Exited,Mumbai,West,https://www.1crowd.co/,"Ganesh Natarajan, chairman of 5F World, has invested in Zeve Capsol, a company that operates the 1Crowd platform in his personal capacity. Following this, Natarajan joins the board of Zeve Capsol, which is working to create an ecosystem for startups and investors. It has assets under management of INR 20 crore. Set up in 2015 by a team of former bankers and private equity professionals, Zeve Capsol currently has a total team of 14 professionals. The 1Crowd investing platform currently has over 500 members and has invested in about 10 companies including MyAashiana Management Services, a solution for cooperative housing societies and Creditas, a company that helps people with blemished records clear their dues, among others. The firm also operates an incubator at Christ University in Bengaluru and a virtual accelerator. The company is currently in the process of raising its first angel fund which it would use to co-invest in startups that are part of the crowdfunding platform, or part of the incubator or accelerator.",
(48East),Food & Beverages,Restaurants (QSR),Al Dhaheri family,Feb-17,No,None,Non Exited,Bangalore,South,https://fortyeighteast.com/,"Bengaluru-based foodtech startup 48East, has raised $500K in Pre Series A funding from UAE-based Al Dhaheri family. The startup will use the investment for setting up new kitchens, enhancing logistics, ramping up technology and marketing. 48East delivers Asian gourmet food and offers food from 48 different countries across the Asian continent. Earlier in August 2016, 48East had raised 250K USD in a round of angel funding from Agra based ACPL Exports.",
Agile Parking Solutions,IT & ITES,Mobile VAS (Consumer Apps - Aggregator - Parking Spots),"Sunil Munjal,Chennai Angels,Indian Angel Network",Feb-17,Yes,None,Non Exited,Delhi,North,http://www.getmyparking.com/,"Cloud-based mobile parking startup, Get My Parking has secured $1.1 Mn (INR 7.35 Cr) in a Pre-Series A round of funding from Indian Angel Network (IAN), Beenext, The Chennai Angels (TCA), and Sunil Munjal (Hero group). The startup will use the funds to accelerate product innovation and business impact. Get My Parking provides IoT-based parking platform which digitises any type of parking space. Its mobile app gives a bird’s eye view of all the legal parking lots and helps users to search, book, and navigate to relevant parking.",
Aisle,IT & ITES,Mobile VAS (Consumer Apps - Dating),"CIO Angel Network,Others",Feb-17,Yes,Obtained,Non Exited,Bangalore,South,https://www.aisle.co,"Members-only dating app Aisle raises an angel round from Konglo Ventures, White Unicorn Ventures and CIO Angel Network (CAN). The CAN investment was led by Anthony Thomas and Sanjay Mehta. Members of the LetsVenture platform also participated.",
(Couponhaat),IT & ITES,Online Services (E-Commerce - Consumer Shopping - Offers & Coupons),Axel Wawrina,Feb-17,No,None,Non Exited,Delhi,North,https://couponhaat.in/,"Couponhaat, a Delhi based start-up which provides coupons and deals for online shoppers, has received funding from Axel Wawrina, an investor based out of Europe. The fundraising would be used to increase the team size. Couponhaat has a subscriber-base of more than 450,000 members for its daily newsletter. Couponhaat plans to use the funding to develop new features based on Big Data and Machine Learning.",
Fyle Technologies,IT & ITES,Enterprise Software (Expense Tracking),"Joydeep Sen Sarma,Richa Kar,Phanindra Sama",Feb-17,No,Obtained,Non Exited,Bangalore,South,http://www.fyle.in/,"Fyle Technologies, a computer vision-enabled expense management platform for enterprises, has raised USD 400,000 (about INR 2.7 crore), in a seed funding round led by early-stage fund Pravega Ventures. BeeNext and a clutch of angel investors including redBus cofounder Phanindra Sama, Zivame founder Richa Kar and Joydeep Sen Sarma, cofounder of cloud company Qubole, also participated. Fyle will utilise the money to expand its business outreach to large and mid-size enterprises in the country.",
Imaginate,IT & ITES,"Enterprise Software (Computer Vision, Artificial Intelligence)",SRI Capital,Feb-17,Yes,None,Non Exited,Hyderabad,South,http://www.imaginate.in/,"Imaginate, a virtual reality start-up based in India and the US, has raised USD 500,000 from SRI Capital, the investment firm of Sashi Reddi, who has joined the start-ups board. Imaginate’s early seed investor IIIT-Hyderabad has exited with this funding round. Imaginate has developed NuSpace, a collaboration platform that lets people communicate with one another in an immersive and interactive virtual world for industrial training, engineering design and remote maintenance. Imaginate was part of Nasscom’s 10,000 Start-ups warehouse programme in 2016.",
Innov8,Other Services,Co-Working Space,"Anand Chandrasekeran,Venture Catalysts Angels,Kunal Shah,Girish Mathrubootham,Vijay Shekhar Sharma,Rajan Anandan",Feb-17,No,None,Non Exited,,North,http://innov8.work/,"Coworking space provider Innov8 has raised angel round enabled by LetsVenture and Venture Catalysts. The round saw investments by prominent angel investors such as Vijay Shekhar Sharma of Paytm, Rajan Anandan of Google, Kunal Shah of FreeCharge, Girish Mathrubootham of Freshdesk and Anand Chandrasekeran of Facebook. The Delhi-based company plans to use the funds to expand to metros including Mumbai, Noida and Gurugram. Innov8 offers shared workspaces, community and services to startups, freelancers, entrepreneurs and even divisions of large corporates.",
Integrated Neonatal Intensive Care Unit,IT & ITES,Enterprise Software (Healthcare),Sanjay Mehta,Feb-17,No,None,Non Exited,Delhi,North,http://www.oxyent.com/inicu.html,"iNICU, short for Integrated Neonatal Intensive Care Unit, has raised seed money from angel investor Sanjay Mehta. The company, which was founded in June 2016 by Harpreet Singh and Gautam Yadav, was incubated under Oxyent, a company Singh started along with wife Ravneet Kaur for building healthcare products. Using data analytics and internet of things, iNICU aims to make medical data related to newborn babies available to doctors in a structured format. Using IoT, big data and machine learning, it helps eliminate human errors in diagnosing premature infants with critical health conditions.",
(Nurturey),IT & ITES,Enterprise Software (Parenting Tool),Mohit Joshi,Feb-17,No,None,Non Exited,London,Overseas,https://nurturey.com/,"Nurturey, a mobile app for parents, has raised over $330,000 in angel funding from a group of investors including Mohit Joshi, a president at Infosys Ltd. The current round brings the total funds raised by Nurturey to $750,000.",
Reap Chemist,IT & ITES,Mobile VAS,"Sandeep Tandon,Kunal Shah,Others",Feb-17,No,None,Non Exited,Mumbai,South,http://www.letsreap.com/index.html,"Reap Chemist, which runs an eponymous B2B supply chain management mobile application for pharmacies, has received seed funding from a clutch of angel investors including FreeCharge founders Kunal Shah and Sandeep Tandon, Thinklabs founder Gagan Goyal, and Chayos co-founder Nitin Saluja. The Mumbai-based startup will use the funds to improvise its product and expand operations. Promoted by Workcell Solutions, the Reap Chemist app helps pharma stores increase sales conversion by solving issues at the supply-chain level.",
SigTuple,IT & ITES,Enterprise Software (Saas - Data Analytics - Healthcare),"Binny Bansal,Sachin Bansal,Others",Feb-17,Yes,Obtained,Non Exited,Bangalore,South,http://sigtuple.com/,"SigTuple Technologies Pvt. Ltd. has raised USD 5.8 million in Series A round of funding led by existing investor Accel India. IDG Ventures India, Endiya Partners, Pi Ventures, VH Capital, Axilor Ventures also participated in the round, along with existing investors Flipkart co-founders Sachin Bansal and Binny Bansal and individual investors Amit Singhal (senior vice president, engineering, Uber), among others. The company will use the fresh funds to expand the team, invest in product development and venture into in South East Asia and Middle East markets.",
(StayAbode),Other Services,Operation & Maintenace (Co-Living Space),"Vishal Lulla,Gaurav Bhalotia,Angie Mahtaney,Ishan Manaktala,Others",Feb-17,No,None,Non Exited,Bangalore,South,http://stayabode.com/,"Stay Abode, which builds co-living spaces, has raised funding from a consortium of investors led by Ishan Manaktala, COO of CoreOne Technologies; and Angie Mahtaney, CEO at K Mohan Exports. Gaurav Bhalotia, ex-VP Engineering at Flipkart; Vishal Lulla, CEO, Vishal Exports; and a group of investors from LetsVenture also participated in the round.  Bangalore-based Stay Abode works on a full-inventory model leasing the spaces for a 5-10 year period offering services including housekeeping, security and community events apart from housing facilities. Stay Abode will use the funds to expand to Pune, Mumbai and Delhi.",
The Ken,Media & Entertainment,Publishing,"Girish Mathrubhootham,Deepak Natraj,V Balakrishnan,Aprameya Radhakrishna,Pallav Nadhani,Vijay Shekhar Sharma,Mahesh Murthy,Others",Feb-17,Yes,None,Non Exited,Bangalore,South,https://the-ken.com/,"The Ken, a subscriptions-only business news site, has raised USD 400,000 from a clutch of investors including Aprameya Radhakrishna (co-founder, TaxiForSure), Deepak Natraj (MD, Aarin Capital), Girish Mathrubhootham (CEO, Freshdesk), Mahesh Murthy (co-founder, Seedfund), Pallav Nadhani (co-founder, FusionCharts), Pavan Ongole (former director, SoftBank), Sandeep Mathur (MD, Graticule Asset Management), Shan Krishnaswamy (co-founder, Freshdesk), V Balakrishnan (chairman, Exfinity Ventures) and Vijay Shekhar Sharma (founder and CEO, Paytm). The portal does one story every weekday - aimed to be original and analytical. The company claims venture capitalists, CEOs, lawyers and senior management personnel as well as college students and young professionals among its subscribers.",
(Wassup),Other Services,Laundry Services,"Anil Jain,Others",Feb-17,Yes,None,Non Exited,Chennai,South,http://wassupondemand.com/,"Wassup, a Chennai-based on-demand laundry services startup, has raised USD 3.2 million in Pre-Series A round from existing investors which includes Anil Jain (MD at Refex Energy), HNIs from India and the Middle East. The funds will be used to increase distribution presence, invest in technology, team and marketing. Founded in 2011 by Balachandar R and Durga Das, Wassup is an on-demand service provider which currently offers services like laundry, dry cleaning, shoes, and bag refurbishments at users’ doorstep. Currently operational in seven cities – Chennai, Bengaluru, Delhi, Gurugram, Pune, Mumbai, Hyderabad and Cochin - Wassup plans for pan-India expansion. The firm has 30 hyper local hubs/retail stores and is looking to expand to 50 stores by the end of this financial year.  In May 2015, Jabongs founders Pravin Sinha and Arun Chandra Mohan had invested in Wassup.",
(Ethosh),IT & ITES,BPO (Content),Deepak Nathani,Jan-17,No,None,Non Exited,Pune,West,http://www.ethosh.com/,"Cybage co-founder Deepak Nathani has picked up a 25% stake in visual and interactive communications firm Ethosh. Founded in 2011 by Jitendra Dahale and Rahul Deshpande, Ethosh provides video solutions including interactive product experience, virtual and augmented reality, and visual technical learning.  Pune-based Ethosh will use the newly raised capital to expand its presence across the US, Europe, and India. The startup has 50 plus employees in India as well as the US. It claims to have 45 global clients and 3,500 developed videos along with 100 plus interactive communication solutions.",
(Ezytruk),IT & ITES,Online Services (Marketplace - Trucks),"Ajith Nair,Anish K",Jan-17,No,None,Non Exited,Bangalore,South,http://ezytruk.com/,"Ezytruk, a Bangalore-based logistics company, has raised USD 147,000 in funding from Dubai-based investors Ajith Nair and Anish K. The startup was founded in November 2015. It will use the money for establishing its commercial operations, marketing, IoT development and for organic growth strategy.  Ezytruk is a cloud-based software as a service (SaaS) application working on a pay-per-use model for both the carriers and shippers.",
GoBumpr,Other Services,After Sales Services (Automobiles),Chennai Angels,Jan-17,No,None,Non Exited,Chennai,South,https://gobumpr.com/,"Chennai Angels has invested in GoBumpr, a Chennai based startup which provides repair and maintenance services for both cars & bikes using its mobile app.",
(goSporto),IT & ITES,,Naveen Gupta,Jan-17,No,None,Non Exited,Delhi,North,https://www.gosporto.com,"Sports discovery and booking platform goSporto, owned and operated by Free Hit Technologies Pvt Ltd, has raised USD 30,000 (INR 20 lakh) in seed funding from Singapore-based angel investor Naveen Gupta. The startup is also in final stages of talks with three to four institutional investors to raise as much as USD 1 million in a pre-Series A round and expects to close the pre-Series A round by April end.The startup, recently re-branded from InstaSports, was founded by Nikhil Jha, Vivek Kumar, Rajendra Bansal and Sumit Pokhriyal in September 2015. It plans to use the funds for increasing outreach through online marketing and offline events to get more users; hiring, product innovation, and scaling up presence in multiple cities. It allows sports enthusiasts to discover sports activities, book grounds and courts online, find sports partners and teams, and track and share their progress through its website and app. The startup claims to have about 100 venues listed on its platform. It is currently operational in Delhi NCR region.",
InstaOffice,Other Services,Co-Working Space,"Karan Chellani,Zishaan Hayath,Others",Jan-17,No,None,Non Exited,Gurgaon,North,http://www.instaoffice.in/,"Gurgaon-based InstaOffice, a start-up that offers managed office space on a sharing basis, has raised a pre-Series A round led by Globevestor. Other angel investors including Toppr co-founder Zishaan Hayath, Karan Chellani, managing partner at SQUE Capital, and Mohit Satyanand, chairman of Teamwork Arts, participated in the round. Proceeds from the funding round will go into taking over more properties, expanding the workforce and conducting customer-centric events, a means of engagement for its user community that the company sees as a differentiator.",
iServices,Other Services,After Sales Service (Electronics),"Aprameya Radhakrishna,Girish Mathrubootham,Others",Jan-17,No,Obtained,Non Exited,Bangalore,South,http://www.iservice.co.in/,"iService, a Bengaluru-based on-demand after-sales service provider for electronics gadgets, has raised INR 3 crore led by seed-stage fund Blume Ventures. Freshdesks Girish Mathrubootham, TaxiForSures Aprameya Radhakrishna, Tapzo CEO Ankur Singla, former Flipkart executive Mekin Maheshwari, and Vijay Sharma have also participated in financing round.",
(Kochi Post),Media & Entertainment,Publishing,"Rajesh Yohannan,Others",Jan-17,No,None,Non Exited,Kochi,South,http://www.kochipost.com/,"Kochi Post Media LLP, which runs Kerala-focussed English online newspaper The Kochi Post, has raised its first round investment from angel investor Rajesh Yohannan and Singapore-based Puthen & Cole. The The startup plans to use funds from this round primarily for hiring more journalists (currently the team consists for five journalists) and upgrade of technology.",
(Kratikal Tech),IT & ITES,IT Services (Cyber Security),"JP Bhatt,Amajit Gupta,Praveen Dubey",Jan-17,No,None,Non Exited,Delhi,North,http://kratikal.in/,"Kratikal Tech Pvt. Ltd, a Delhi-based cybersecurity startup, has raised about USD 500,000 in seed funding from former director of Microsoft India Praveen Dubey, along with Amajit Gupta, former managing director Juniper Networks India and J.P. Bhatt, chief executive of ImpactQA. The company will use the funds for product development and building training modules.",
myCol,IT & ITES,Mobile VAS (EMR),"Rajan Anandan,Others",Jan-17,Yes,None,Non Exited,Delhi,North,http://www.mycol.in/,"INR 5.2 Cr.  Rajan Anandan invested INR 0.15 Cr for 0.40% stake Nexus Ventures invested INR 4 Cr for 10.38% stake  Apoorva Patni, Founder, Currae Heathcare Fund invested INR 0.55 Cr for 1.29% stake Others (Shriya Misra, Arjun madan) invested INR 0.70 Cr for 1.42% stake  Pricing details: Seed CCPS = FV Rs 30; Issue Price = Rs 730; Equity shares = Rs 10; Issue Price = Rs 730;  Issue of 100 equity shares and 54,700 CCPS to Nexus Ventures IV Issue of 6800 CCPS to Apoorva Patni Issue of 9600 CCPS to others  ESOP Pool constitutes of 53000 shares (10.04% of fully diluted share capital). The initial conversion ratio for the CCPS is 1:1  Target co = Circle of Life Healthcare Pvt Ltd, which aims to simplify in-patient healthcare delivery solutions in emerging markets through its mobile application myCOL. myCol has earlier raised angel funding from Shishir Kapoor, Country Head, Opera Solutions.",
NativeSpecial.com,IT & ITES,E-Commerce (Ethnic Foods),"Native Angels Network,Indian Angel Network",Jan-17,No,None,Non Exited,Karur,South,https://nativespecial.com/,"Karur, Tamil Nadu-based foodtech start-up Native Special Products has raised funding from Indian Angel Network and Madurai-based Native Angels Network. The start-up retails traditional snacks and sweets through its online portal. Nagaraja Prakasam led the round funding. K. Premnath will join the board.",
PaisaWapas,IT & ITES,E-Commerce - Offers & Discounts - Cashback,"Vividhity Ventures,Others",Jan-17,No,None,Non Exited,Bangalore,South,https://www.paisawapas.com/,"PaisaWapas.com, an ecommerce deals platform aimed at students, has raised funding from Vividhity Ventures, a group of IIT-BHU alumni and senior Infosys and Dell executives. This is the first round of external funding the venture has raised. Paisawapas aggregates deals from other ecommerce platforms that are relevant for students and offers cash backs and discounts on these. Set up in April 2015, Paisawapas claims to have two lakh monthly visitors, generating INR 1 crore in sales every month for partner websites. The company claims to have about 70,000 students registered on the platform.",
RegisterMyMarriage,IT & ITES,Online Services (Marriage Registration),Mumbai Angels,Jan-17,No,None,Non Exited,Delhi,North,http://registermymarriage.com/,"Delhi-based RegisterMyMarriage.com has raised seed capital from Mumbai Angels. The two-year-old startup aims to become the go-to portal for the marriage registration process. The portal claims to have more than 32,000 customers.",
(ShabdaNagari),IT & ITES,Online Services (Social Networking - Local Language),"Abhimanyu Singh,Yogesh Chaudhary,Anirudh Damani",Jan-17,Yes,None,Non Exited,Kanpur,Central,http://www.shabdanagari.in/,"ShabdaNagari, a social media start up catering to the niche Hindi content consuming audience, raised bridge funding from Yogesh Chaudhary of Jaipur Rugs, Anirudh Damani of Artha Energy Project, Abhimanyu Singh from TaskUs and others through the ah! Ventures platform. The company aims to utilize the funds mainly for its product development, marketing and promotional activities. ShabdaNagari was founded in January 2015 by Amitesh Misra, Nikhil Tiwari and Amaresh Chandra Misra. ShabdaNagari has also been backed by Kanpur Angels including investors like Abhishek Singhania from the JK Group, Manoj Agrawal from Kanpur Plastipack and Rakesh Suri from Suri Shoes.",
